subject,epoch_id,label,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy
eeg1,0,1,2.309710409797481e-11,5.04676168068502e-12,3.0649359369978736e-12,2.921349866301337e-11,1.7054777576524957e-11,7.413050350028228e-10,0.16566891167917958,7.672751593016336,3.099087930491278
eeg1,1,1,4.291678371345344e-10,1.9636124116128137e-10,1.033527706164976e-10,6.012078518528633e-11,1.7503710636850768e-11,1.2691905059389843e-09,0.16899532599979472,3.627984884770759,4.204902780632367
eeg1,2,1,4.197995597641565e-10,1.9418041647924332e-10,1.0334435773627738e-10,5.925983065967918e-11,1.7352593627223562e-11,1.2404997461740034e-09,0.17306028282922328,3.5072839531974362,4.285965718872844
eeg1,3,1,1.226964882890993e-11,2.316898383048492e-12,2.6446239395158104e-12,2.7642901332682706e-11,1.6580431896729744e-11,6.483324219867623e-10,0.16006036757066772,7.646924770312069,3.436541658867562
eeg1,4,1,8.807647262419489e-12,2.2113293438262317e-12,2.611032300807944e-12,2.764047336470971e-11,1.6415471373076505e-11,6.013344192515152e-10,0.2620680622896181,4.554602400414847,4.1048524279086225
eeg1,5,1,8.445823726833214e-12,2.5629293353298136e-12,2.523268045327064e-12,2.776819557733512e-11,1.6544451187081616e-11,6.003551652085151e-10,0.2679614826056677,4.535815724254034,4.128164572517612
eeg1,6,0,8.159988553182265e-12,2.704023018126932e-12,2.6025764650818908e-12,2.788326151526662e-11,1.676311115644835e-11,6.27512153960239e-10,0.270147801357932,4.30112644127742,4.224436200173976
eeg1,7,0,7.83420476466872e-12,2.657033242870515e-12,2.8046928770256016e-12,2.7760545715691724e-11,1.7178990803739333e-11,6.314027347178571e-10,0.27653930875049737,4.135907430946429,4.4324513654404365
eeg1,8,0,5.153534396828868e-11,3.788050444983827e-12,2.9443302953321447e-12,2.7917229988951458e-11,1.7457000834255838e-11,7.266276850724282e-10,0.1527737565174232,8.66849395758699,3.15275878128273
eeg1,9,0,1.2643182715330645e-10,6.752481401423921e-12,3.9526508752509655e-12,2.742101487623016e-11,1.7819435731186906e-11,9.696194413867925e-10,0.11620340367671736,10.303285797921255,2.9319526720124456
eeg1,10,0,8.472353862794635e-11,4.919992540150153e-12,3.572950273138877e-12,2.7208236958713725e-11,1.8011852338811958e-11,8.519978549049282e-10,0.12152228639122682,10.189215301081846,2.9481669123035275
eeg1,11,0,1.0222401852773136e-10,9.914674533407413e-12,7.637748755395124e-12,3.1446275383175806e-11,1.828082742345005e-11,6.921982048328031e-10,0.17455576873931783,4.715295228784328,3.594230274176004
eeg1,12,0,1.2744045288065616e-10,1.1685775737807981e-11,1.3290826239660639e-11,3.3083506556858316e-11,1.8329432410984443e-11,6.966177566333431e-10,0.17239675596969023,4.723015192134174,3.6555669887767617
eeg1,13,0,1.4540869143120179e-11,2.769773131333359e-12,2.454878050603353e-12,2.713849908926224e-11,1.8012780787723057e-11,6.102169411181603e-10,0.1952878687925047,5.360709951090643,3.4935263301156723
eeg1,14,0,9.509408712265546e-12,2.4989585809799157e-12,2.3610894346554992e-12,2.6904485910206094e-11,1.7848002260616867e-11,6.048845719144112e-10,0.2320920297644041,5.058784497286997,3.802586560922432
eeg1,15,0,7.912429917377023e-12,2.9832814298158885e-12,2.387329857528422e-12,2.6653549070847564e-11,1.7971218675670895e-11,6.070440679744015e-10,0.24552020226031246,4.70409523502217,3.961069621150643
eeg1,16,0,6.7414796972020764e-12,2.8999091179372215e-12,2.3134372094580957e-12,2.6370413001910853e-11,1.7985563535449212e-11,6.016612179109737e-10,0.25788936257451534,4.360291695094067,4.457203081547585
eeg1,17,0,2.8057565231242826e-11,3.3763944487810808e-12,3.347987339321938e-12,2.545890230003845e-11,1.7321135185031557e-11,6.363300350058848e-10,0.16089922882256893,7.60803935652532,3.180514749002911
eeg1,18,0,2.6656671726021848e-11,3.18095547490139e-12,3.1661838040176323e-12,2.532280093200552e-11,1.6971238918412826e-11,6.322292571815677e-10,0.16356252596374704,7.607460056175471,3.2626180352793477
eeg1,19,0,8.62700647829216e-12,2.8673590731014027e-12,4.725329170047618e-12,2.5676247534978816e-11,1.7434758193264215e-11,6.003776014928416e-10,0.23900639086352543,4.23583260607251,4.246367582926551
eeg1,20,0,4.6142291459817003e-11,2.1327340343042594e-11,6.3104589286791115e-12,2.713362954422993e-11,1.8148579658323204e-11,6.423955695914763e-10,0.19327941510491928,4.38409877645161,4.0351251794269105
