eeg_mean,eeg_skewness,eeg_kurtosis,delta_power,theta_power,rr_interval,spo2_drop
0.4496714153011233,0.0898293387770603,3.3692332899977053,0.4324083969394795,0.452082576215471,0.4895515973521523,1
0.3861735698828815,0.3352278184508938,3.085684140594985,0.3614917719583683,0.4814341023336183,0.404530627260263,1
0.4647688538100692,0.1486502775262066,2.94217585880588,0.3323077999694041,0.3893665025993972,0.5201397155468049,1
0.5523029856408026,0.0442289071044099,2.849448152205356,0.4611676288840868,0.3803793375919329,0.3799074468603859,0
0.3765846625276664,0.2322544912103189,2.260739004816286,0.5030999522495951,0.5812525822394198,0.4793428546900135,1
0.3765863043050819,0.0279156350028977,2.6400778958026456,0.4931280119116198,0.6356240028570823,0.5595227812904989,1
0.5579212815507392,0.1708863595004755,2.769680614520106,0.3160782476777362,0.4927989878419666,0.4004731837434656,0
0.4767434729152909,-0.0459670123879775,3.5285611131094576,0.3690787624148786,0.6003532897892024,0.4216851135198614,0
0.3530525614065048,0.0171813951101569,3.1718091447842305,0.4331263431403564,0.5361636025047634,0.454982568254382,1
0.4542560043585965,0.1696861235869123,2.118479922318633,0.4975545127122359,0.4354880245394875,0.42482621729419,1
